Employer,JobTitle,Wage,City,State
"ORANGE COAST KOMMUNICATIONS, INC.","ACCOUNT EXECUTIVE",57075,"NEWPORT BEACH",CA
"LATINWORKS MARKETING, LLC",COPYWRITER,90000,AUSTIN,TX
"METROPOLITAN MUSEUM OF ART","MANAGER, ECOMMERCE CONTENT & PLATFORM DEVELOP",90000,"NEW YORK",NY
"HORIZON TIRE, INC","ADVERTISING MANAGER",62192,NORCROSS,GA
"TAHITI TOURISME NORTH AMERICA","PROMOTIONS AND PROGRAM DEVELOPMENT MANAGER",66000,"EL SEGUNDO",CA
"HAVAS HEALTH, INC.","EVP, CORPORATE CAUSE",215000,"NEW YORK",NY
"SOUTHERN BAPTIST THEOLOGICAL SEMINARY","CREATIVE DIRECTOR FOR RELIGIOUS COMMUNICATIONS",65000,LOUISVILLE,KY
"CHINA TELECOM (AMERICAS) CORPORATION","MARKETING COMMUNICATIONS COORDINATOR",52900,HERNDON,VA
"DDB CHICAGO INC.","MOBILE LEAD",120000,CHICAGO,IL
"LEARFIELD COMMUNICATIONS, INC.","ACCOUNT EXECUTIVE",77000,EVANSTON,IL
"STARCOM MEDIAVEST GROUP, INC.","EVP, MANAGING DIRECTOR",300000,"LOS ANGELES",CA
"STARCOM MEDIAVEST GROUP, INC.","EVP, MANAGING DIRECTOR",300000,"LOS ANGELES",CA
"GOLDEN GATE SCENIC STEAMSHIP CORPORATION","PROMOTIONS DIRECTOR",69950,"SAN FRANCISCO",CA
"GROUP FMG, INC.","CREATIVE DIRECTOR",105000,"NEW YORK",NY
"BBDO USA LLC","EXECUTIVE CREATIVE DIRECTOR",340000,"NEW YORK",NY
"TRICHROMATIC WEST, INC.","MARKETING AND PROMOTIONS MANAGER",66000,COMMERCE,CA
"CLEAN FOCUS CORPORATION","PROMOTIONS DIRECTOR",55848,SUNNYVALE,CA
"BLINQ MEDIA LLC","DIRECTOR, ACCOUNT SERVICES",84200,"NEW YORK",NY
"ADORE ME, INC","PRODUCT MANAGER",90000,"NEW YORK",NY
"MCCANN-ERICKSON USA, INC.","GLOBAL ASSISTANT ACCOUNT EXECUTIVE",37985,"NEW YORK",NY
"INSPIRE NATION LLC","CORPORATE RELATIONS & BRAND DEVELOPMENT MANAGER",54000,MIAMI,FL
"AAPPTEC, LLC","ADVERTISEMENT PROMOTION MANAGER",47500,LOUISVILLE,KY
"MRY US, LLC","MANAGEMENT SUPERVISOR",90000,"NEW YORK",NY
"DDB WORLDWIDE COMMUNICATIONS GROUP INC.","ASSISTANT ACCOUNT EXECUTIVE",40000,"NEW YORK",NY
"MCCANN-ERICKSON USA, INC.","ASSOCIATE PLANNING DIRECTOR",125000,"NEW YORK",NY
"SUNRISE TWO OPERATING, LLC","SALES AND MARKETING MANAGER",63835,LYNBROOK,NY
"INTERNATIONAL TEA IMPORTERS INC.","ADVERTISING AND PROMOTIONS MANAGER",65499,"PICO RIVERA",CA
"LATINWORKS MARKETING, LLC","DIRECTOR, STRATEGIC PLANNING",100000,AUSTIN,TX
"AEGIS USA, INC.","MANAGER, MARKETING & ASSISTANT TO PRESIDENT",57600,IRVING,TX
"NOVA MARKETING SERVICES, INC","MARKETING & ADVERTISING PROJECT MANAGER",52000,"FT LAUDERDALE",FL
"CHANGO INC.","DIRECTOR OF BUSINESS DEVELOPMENT",135000,"NEW YORK",NY
"STARCOM MEDIAVEST GROUP, INC.","EVP, MANAGING DIRECTOR",300000,"NEW YORK",NY
"ANCHORFREE, INC.","FREEMIUM MARKETING SPECIALIST",80000,"MOUNTAIN VIEW",CA
"APS CONTRACTORS, INC.","ADVERRTISING AND PROMOTIONS MANAGER",77043,PATERSON,NJ
"THE BARDS OF WASHINGTON LLC","ADVERTISING/PROMOTIONS MANAGER",52853,WASHINGTON,DC
"BBDO USA LLC","ASSISTANT ACCOUNT EXECUTIVE",38000,"NEW YORK",NY
"BBDO USA LLC","ASSISTANT ACCOUNT EXECUTIVE",38000,"NEW YORK",NY
"PHONE-LY, INC.","BUSINESS DEVELOPMENT DIRECTOR",75000,"SAN FRANCISCO",CA
"SALEAMP, INC.","STRATEGIC ADVERTISING COMMUNICATIONS MANAGER",49000,AUSTIN,TX
"ISHO CORP","ADVERTISING AND PROMOTIONS MANAGER",41000,JUNCOS,PR
"SIX FOOT, LLC","ADVERTISING EXECUTIVE",60000,HOUSTON,TX
"TACTICAL AIR OPERATIONS, INC.","ADVERTISING AND PROMOTIONS MANAGER",51000,CORONADO,CA
"ABOARD CARGO SERVICE, INC.","ADVERTISING AND PROMOTIONS MANAGER",53123,DORAL,FL
"DROGA5, LLC","GROUP ACCOUNT DIRECTOR",240000,"NEW YORK",NY
"TWO WEST, INC.","PROJECT MANAGER",55000,"KANSAS CITY",MO
"WILLIAM REED BUSINESS MEDIA INC.","ADVERTISING MANAGER, FOOD PROCESSING AND PACKING D",85000,"NEW YORK",NY
"AL & JOHN, INC.","DIRECTOR, MARKETING AND PRODUCT DEVELOPMENT",73258,"WEST CALDWELL",NJ
"ARENANET, LLC","COMMUNITY TEAM LEAD",59000,BELLEVUE,WA
"US MEDIA CONSULTING, LLC","ADVERTISING SALES MANAGER",100000,MIAMI,FL
"GSI COMMERCE SOLUTIONS, INC.","ACCOUNT MANAGER",35610,WILKES-BARRE,PA
"SCPF AMERICA, LLC","PLANNING DIRECTOR",130000,"MIAMI BEACH",FL
"VON SUCKOW TRADE GROUP, INC","ADVERTISING MANAGER",53123,MIAMI,FL
"ASIA GLOBAL XPRESS, LLC","MARKETING AND ADVERTISING MANAGER",65499,"ROWLAND HEIGHTS",CA
"THE VIDAL PARTNERSHIP INC.","BRAND MANAGER",85000,"NEW YORK",NY
"FAST SWITCH LTD","ADVERTISING AND PROMOTIONS MANAGER",72000,DUBLIN,OH
"HAVAS PR NORTH AMERICA INC.","EVP, CORPORATE CAUSE",215000,"NEW YORK",NY
"HAVAS PR NORTH AMERICA INC.","EVP, CORPORATE CAUSE",215000,"NEW YORK",NY
"NHN USA, INC.","ADVERTISING AND PROMOTIONS MANAGER",55848,"MOUNTAIN VIEW",CA
"ES-EX CORPORATION","PROMOTIONS MANAGER",70000,"SOUTH SAN FRANCISCO",CA
"TIME ADVERTISING, INC.","ADVERTISING MANAGER",70000,MILLBRAE,CA
"TROPHY CLUB COUNTRY CLUB","MARKETING DIRECTOR, TENNIS",45000,"TROPHY CLUB",TX
RECREATION,"ACCOUNT EXECUTIVE",65499,"SANTA MONICA",CA
"NORTHERNGATE, INC.","MARKETING & PR MANAGER",72800,FREDERICKSBURG,VA
"SOUTH COAST SUSHI CORPORATION","ADVERTISING MANAGER",40581,CHICAGO,IL
"SCPF AMERICA, LLC","PLANNING DIRECTOR",130000,"NEW YORK",NY
"IRF INTERNATIONAL LLC","MARKETING & PROMOTIONS MANAGER",53123,"MIAMI BEACH",FL
"EVERWRITE INC.","MARKETING MANAGER",77043,BRONX,NY
"MINIPACK AMERICA INC","ADVERTISING MANAGER",60000,ORANGE,CA
"DEBELLO, LLC","MARKETING ANALYST",60000,"GARDEN GROVE",CA
"KING SPA DALLAS LLC","ADVERTISING MANAGER",40061,DALLAS,TX
"PANNA CAFE EXPRESS TO GO INC","ADVERTISING DIRECTOR",53123,"NORTH MIAMI BEACH",FL
"DIESTE, INC.","ACCOUNT DIRECTOR",105000,DALLAS,TX
"EAGLECELL, INC","MARKETING AND PROMOTIONS MANAGER",65500,"CITY OF INDUSTRY",CA
"BRIGITTE LINA LOMBARI LLC","ADVERTISING AND PROMOTION MANAGER",60000,AVENTURA,FL
"DLA, INC.","MEDIA BUYER / SOCIAL MEDIA MANAGER",55000,MIAMI,FL
"CHEI C YIN","MARKETING AND PROMOTIONS MANAGERS",51000,VACAVILLE,CA
"TOYOTA OF RIVERSIDE","DIRECTOR OF BUSINESS SOLUTIONS",72000,RIVERSIDE,CA
"FACEBOOK, INC.","GLOBAL BUSINESS MANAGER",119074.41,MIAMI,FL
"RORE, INC.","MARKETING COORDINATOR",54000,"SAN DIEGO",CA
"BIO-OXFORD USA, INC.","INTERNATIONAL PROMOTION SPECIALIST",43000,MIAMI,FL
"COLLEGE AUTO SALES OF FLORIDA, INC","PROMOTIONS MANAGER-USA-LATIN AMERICA",100000,MIAMI,FL
"DELL USA, LP","MERCHANDISING SR. CONSULTANT",131100,"ROUND ROCK",TX
"PUBLICIS INC.","ACCOUNT SUPERVISOR",80000,"NEW YORK",NY
"NEWS CORP STAR US LLC","VP, ADVERTISING SALES",106957,"NEW YORK",CA
"LOUISIANA STATE UNIVERSITY AND A & M COLLEGE","DIRECTOR OF MARKETING AND PROMOTIONS",60611,"BATON ROUGE",LA
"UNIVERSAL MCCANN WORLDWIDE, INC.","MANAGER, PORTFOLIO MANAGEMENT (MEDIA SUPERVISOR)",71758,"NEW YORK",NY
"R/GA MEDIA GROUP INC.","EXPERIENCE DESIGN DIRECTOR",125000,"NEW YORK",NY
DIGITAS,"MANAGER, PROJECT MANAGEMENT",77044,"NEW YORK",NY
"SUSTAINABLE LIFE MEDIA, INC.","DIRECTOR OF MARKETING",70000,BURLINGAME,CA
