Employer,JobTitle,Wage,City,State
"AMAZON.COM.DEDC, LLC","HUMAN RESOURCES LEADERSHIP DEVELOPMENT SPECIALIST",87506,MIDDLETOWN,DE
"LAZ PARKING LIMITED LLC","HUMAN RESOURCES MANAGER",77730,BOSTON,MA
"GOLDEN STATE FC LLC","HUMAN RESOURCES BUSINESS PARTNER",85000,PHOENIX,AZ
"ANNIK INC.","HUMAN RESOURCES MANAGER",96952,REDMOND,WA
"MICROSOFT CORPORATION","STAFFING CONSULTANT",90277,REDMOND,WA
"BLOOMBERG, LP","TEAM LEADER",170000,"NEW YORK",NY
"DELOITTE TOUCHE TOHMATSU SERVICES, INC.","HUMAN RESOURCES MANAGER, DTTL HR",99000,"NEW YORK",NY
"RADISS TECH SERVICES INC.","HUMAN RESOURCES MANAGER",63000,SCHAUMBURG,IL
"INNOVATIVE MOLDING, INC.","HUMAN RESOURCES MANAGER",95000,"ROHNERT PARK",CA
"MAHINDRA ENGINEERING SERVICES LTD","INTERNATIONAL HEAD OF HUMAN RESOURCES",67000,TROY,MI
"AMAZON CORPORATE LLC","HUMAN RESOURCES BUSINESS PARTNER",96000,SEATTLE,WA
"GREEN LUXURY BRANDS, INC.","DIRECTOR OF BUSINESS DEVELOPMENT",100000,"NEW YORK",NY
"OUTBRAIN, INC.","ORGANIZATIONAL DEVELOPMENT MANAGER",105000,"SAN FRANCISCO",CA
"PREMIER ENTERPRISES","DIRECTOR OF SAFETY AND TRAINING",65000,ALEXANDRIA,VA
"AMERICAN DELI INTERNATIONAL, INC.","TRAINING AND DEVELOPMENT MANAGER",117000,RIVERDALE,GA
"PANDA EXPRESS, INC.","AREA COACH OF OPERATIONS",67000,DALTON,GA
"PANDA EXPRESS, INC.","AREA COACH OF OPERATIONS",67000,DALTON,GA
"PANDA EXPRESS, INC.","AREA COACH OF OPERATIONS",68599,ALPHARETTA,GA
"INTERNATIONAL INSTITUTE FOR LEARNING, INC.","PROJECT MANAGER, MICROSOFT",120000,VENICE,FL
"NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH, INC.","MANAGER, PROGRAM OFFICE, EDUCATION",116181,CAMBRIDGE,MA
"AIR LIQUIDE INDUSTRIAL U.S. LP","MANAGER OF EFFICIENCIES AND METHODS",82000,HOUSTON,TX
"O'BRIEN & GERE OF NORTH AMERICA, INC.","TRAINING & DEVELOPMENT MANAGER",88504,SYRACUSE,NY
"PANTAR SOLUTIONS INC","TECHNICAL DEVELOPMENT MANAGER",70200,CHARLOTTE,NC
"BDO USA, LLP","TECHNICAL DIRECTOR, GLOBAL AUDIT TRAINING",138000,"LA JOLLA",CA
"IBM CORPORATION","PROGRAM DIRECTOR",119573,SOMERS,NY
"BJ COMPUTERS, INC.","TRAINING AND DEVELOPMENT MANAGER - ASIA AND EUROPE",78000,RICHARDSON,TX
"NVIDIA CORPORATION","LEARNING AND DEVELOPMENT PROGRAM MANAGER",95111,"SANTA CLARA",CA
"ANN & ROBERT H. LURIE CHILDREN'S HOSPITAL OF CHICA","CLINICAL EDUCATOR",65582,CHICAGO,IL
"CHICAGO INSTITUTE OF INVESTMENT","PROGRAM TRAINING MANAGER",47000,CHICAGO,IL
"CHICAGO INSTITUTE OF INVESTMENT","PROGRAM TRAINING MANAGER",47000,CHICAGO,IL
"VAYA GROUP INC","ASSESSMENT & DEVELOPMENT CONSULTANT",70000,AURORA,IL
"MOZILLA CORPORATION","PROGRAM MANAGER, WEBFWD",95742,"MOUNTAIN VIEW",CA
"TOWN OF WESTLAKE","MYP COORDINATOR",64418,WESTLAKE,TX
"FUHU, INC.","TRAINING AND DEVELOPMENT OFFICER",100000,"EL SEGUNDO",CA
"NEXSYS ELECTRONICS, INC.","SOFTWARE PROJECT DEVELOPMENT MANAGER",82597,"SAN FRANCISCO",CA
"ENGILITY CORPORATION","MILITARY ANALYST INTEGRATOR",116132.64,"FORT IRWIN",CA
"GENENTECH, INC.","CLINICAL TRAINER",115000,"SOUTH SAN FRANCISCO",CA
"PANTAR SOLUTIONS INC","TECHNICAL DEVELOPMENT MANAGER",70200,CHARLOTTE,NC
"TRADEQUIP SERVICES AND MARINE, INC","TRADEQUIP SERVICES & MARINE, INC",120000,HOUSTON,TX
"WARGAMING AMERICA, INC.","TECHNICAL PROJECT MANAGER",85000,EMERYVILLE,CA
"MCAFEE, INC.","LEARNING COORDINATOR",60715,PLANO,TX
"SUCCESSFACTORS, INC.","PRACTICE MANAGER",129150,"SOUTH SAN FRANCISCO",CA
"ROTHSTEIN-KASS, P.A.","CHIEF LEARNING OFFICER (DIRECTOR)",375000,ROSELAND,NJ
TSYS,"CLIENT ADVISING DIRECTOR",98100,COLUMBUS,GA
"TRADEQUIP SERVICES AND MARINE, INC","TRAINING AND DEVELOPMENT MANAGER",120000,HOUSTON,TX
"A & W RESTAURANTS, INC.","EDUCATION AND DEVELOPMENT COORDINATOR",48090,LEXINGTON,KY
"THE BOEING COMPANY","DIRECTOR TRAINING OPS & SIMULATOR SERVICES",130000,RENTON,WA
"NYX, INC.","TRAINING AND DEVELOPMENT SPECIALIST MANAGER",49962,LIVONIA,MI
"UNIVERSAL SYSTEM TECHNOLOGIES, INC.","TECHNICAL RECRUITER",40000,"BINGHAM FARMS",MI
"COOL SUSHI CORP","TRAINING AND DEVELOPMENT MANAGER",47382,CHICAGO,IL
"FEDERAL RESOURCES SUPPLY COMPANY","EOD & CBRNE SENIOR TRAINER",135000,STEVENSVILLE,MD
"MWM OF AMERICA, INC.","MANAGER FOR THE MARKETING/TRAINING DEPARTMENT",66276,DULUTH,GA
"DEACERO USA, INC.","HUMAN RESOURCES & TRAINING DEVELOPMENT MANAGER",71687.72,HOUSTON,TX
"STARWOOD HOTELS & RESORTS WORLDWIDE, INC.","MANAGER, SERVICE CULTURE",80000,STAMFORD,CT
"DOBY AGENCIES LLC","SALES TRAINING AND RECRUITMENT MANAGER",64979,PELHAM,AL
"RAZAVI APPLICATION DEVELOPERS, INC.","OPERATIONS MANAGER",80000,WASHINGTON,DC
"APPLE INC.","ENGINEERING PROJECT MGR",115000,CUPERTINO,CA
"CAESARS ENTERTAINMENT OPERATING COMPANY, INC.","VICE PRESIDENT OF EMPLOYMENT AND TRAINING",165000,"LAS VEGAS",NV
"ZENCO GROUP, INC.","MANAGER, BUSINESS DEVELOPMENT",84510,BROOKLYN,NY
"PANDA EXPRESS INC.","AREA COACH OPERATIONS-IN TRAINING",47091,"VERNON HILLS",IL
"PANDA EXPRESS INC.","AREA COACH OPERATIONS-IN TRAINING",46322,ADDISON,IL
"WETSTOCK MANAGEMENT LLC DBA","TRAINING AND DEVELOPMENT MANAGER",60715,RICHARDSON,TX
"KALITTA AIR, LLC","SENIOR POWERPLANT INSTRUCTOR",62003.76,OSCODA,MI
"PANDA EXPRESS INC.","AREA COACH OPERATIONS-IN TRAINING",47091,"VERNON HILLS",IL
"PANDA EXPRESS INC.","AREA COACH OPERATIONS-IN TRAINING",55000,OWASSO,OK
"NEW YORK CITY HEALTH AND HOSPITALS CORPORATION","DIRECTOR, BREAKTHROUGH FACILITATOR AND TRAINER",130000,"NEW YORK",NY
"TELERIK INC.","SENIOR TRAINER",90000,HUDSON,OH
"ADCONION DIRECT, INC.","ENTERPRISE TRAINER",97597,"SANTA MONICA",CA
"REVOLUTION ANALYTICS, INC.","SR. PROGRAMS MANAGER",126547,"PALO ALTO",CA
"ONESUBSEA, LLC.","INSTRUCTIONAL DESIGNER/DEVELOPER",59363,HOUSTON,TX
"GRANDEUR MANAGEMENT INC.","HOSPITALITY MANAGER",42848,"MYRTLE BEACH",SC
"INCREV CORPORATION","DEVELOPMENT MANAGER",130000,"LOS ALTOS",CA
"WHIRLPOOL CORPORATION","TRAINING MANAGER",105000,"BENTON HARBOR",MI
"NORTHEAST OHIO MEDICAL UNIVERSITY","DIRECTOR OF FACULTY DEVELOPMENT",100000,ROOTSTOWN,OH
"FINCA INTERNATIONAL INC.","REGIONAL TRAINING MANAGER, LATIN AMERICA",96000,"CORAL GABLES",FL
"WEATHERFORD INTERNATIONAL, INC.","PRODUCT LINE TECHNICAL TRAINER COORDINATOR",89439,FORT,TX
"RACKSPACE US, INC.","RETENTION AND ENGAGEMENT MANAGER",73000,"SAN ANTONIO",TX
"PARBALL CORPORATION","VICE PRESIDENT OF EMPLOYMENT AND TRAINING",165000,"LAS VEGAS",NV
"CENTER FOR CREATIVE LEADERSHIP","MANAGER TECHNOLOGY-DRIVEN LEARNING PRODUCTS",90000,GREENSBORO,NC
"LUDLUM MEASUREMENTS INC.","TECHNICAL TRAINING MANAGER",72946,SWEETWATER,TX
"FIDELITY BROKERAGE SERVICES LLC","FACILITATION DIRECTOR",89523,"GREENWOOD VILLAGE",CO
"BRISTOL HOSPICE - CALIFORNIA, LLC","NURSE TRAINER",115500,MERCED,CA
"MORRILL COUNTY COMMUNITY HOSPITAL","HUMAN RESOURCE TRAINING & DEVELOPMENT MANAGER",43680,BRIDGEPORT,NE
"MURPHY-BROWN LLC","LEAN GENETIC HOG FARM MANAGER",43000,GARYSBURG,NC
"MURPHY-BROWN LLC","SOW FARM MANAGER",38000,STANTONSBURG,NC
"CENTER FRESH EGG FARM, LLP","COMPLEX MANAGER",100000,"SIOUX CENTER",IA
"MURPHY-BROWN LLC","PRODUCTION SPECIALIST - SOW",40000,LAURINBURG,NC
"MURPHY-BROWN LLC","PRODUCTION SPECIALIST - SOW",40000,LAURINBURG,NC
"MURPHY-BROWN LLC","PRODUCTION SPECIALIST - SOW",40000,FAIRMONT,NC
"MURPHY-BROWN LLC","FARM MANAGER",38000,WAVERLY,VA
"SHIRAZ RANCH LLC","FARM MANAGER",36462,ESPARTO,CA
"MURPHY-BROWN LLC","SOW FARM MANAGER",38000,HAMLET,NC
"MURPHY-BROWN LLC","SOW FARM MANAGER",38000,LAURINBURG,NC
"MURPHY-BROWN LLC","SOW FARM MANAGER",37826,LAURINBURG,NC
"MURPHY-BROWN LLC","SOW FARM MANAGER",37826,"LAUREL HILL",NC
"MURPHY-BROWN LLC","SOW FARM MANAGER",38000,MAXTON,NC
"MURPHY-BROWN LLC","PRODUCTION RESOURCE SPECIALIST",37826,"ROSE HILL",NC
"MURPHY-BROWN LLC","FARM MANAGER",38000,AHOSKIE,NC
"JBS FIVE RIVERS CATTLE FEEDING LLC","AGRICULTURAL ASSOCIATE (MANAGEMENT TRACK)",39500,HARTLEY,TX
"MAHONEY'S GARDEN CENTERS, LLC","PERENNIALS NURSERY HOME MANAGER/ ADVISOR",49358,BRIGHTON,MA
"MURPHY-BROWN LLC","LEAN GENETIC HOG FARM MANAGER",37523,WILLARD,NC
"MURPHY-BROWN LLC","BOAR STUD MANAGER",37826,LAURINBURG,NC
"MURPHY-BROWN LLC","SOW FARM MANAGER",38000,MAXTON,NC
"MURPHY-BROWN LLC","FARM MANAGER",37740,AHOSKIE,NC
"HOUWELING NURSERIES OXNARD, INC.","AGRICULTURAL MANAGER",90000,CAMARILLO,CA
"NORTHSTAR COOPERATIVE, INC.","REPRODUCTIVE SPECIALIST",50000,MIDDLEVILLE,MI
"HIGH RIDGE AG., LLC","SOW FARM MANAGER",41560,GREENVILLE,NC
"COLES FARMS, INC.","SOW FARM MANAGER",41560,GRIMESLAND,NC
"COLES FARMS, INC.","SOW FARM MANAGER",41560,GRIMESLAND,NC
"GLOBAL AQUACULTURE ALLIANCE, LLC","PROGRAM INTEGRITY MANAGER",58802,LYNNWOOD,WA
"CERES, INC.","AGRONOMY MANAGER AMERICAS",141000,NEWBERRY,FL
"MURPHY-BROWN LLC","SOW FARM MANAGER",37523,COUNCIL,NC
"GILL DAIRY, LLC","DAIRY FARM MANAGER",47861,"SOUTH SOLON",OH
"KFO, INC.","DIRECTOR OF FARM OPERATIONS AND DEVELOPMENT",94203,THERMAL,CA
"JBS FIVE RIVERS CATTLE FEEDING LLC","AGRICULTURAL ASSOCIATE (MANAGEMENT TRACK)",38000,DALHART,TX
"JBS FIVE RIVERS CATTLE FEEDING LLC","AGRICULTURAL ASSOCIATE (MANAGEMENT TRACK)",38325,TEXHOMA,OK
"JBS FIVE RIVERS CATTLE FEEDING LLC","AGRICULTURAL ASSOCIATE (MANAGEMENT TRACK)",40040,TEXHOMA,OK
"JBS FIVE RIVERS CATTLE FEEDING LLC","AGRICULTURAL ASSOCIATE (MANAGEMENT TRACK)",48000,DALHART,TX
"JBS FIVE RIVERS CATTLE FEEDING LLC","AGRICULTURAL ASSOCIATE (MANAGEMENT TRACK)",45000,DALHART,TX
"SUGAR FARMS CO-OP","GAME MANAGEMENT SPECIALIST",80000,OKEECHOBEE,FL
"JBS FIVE RIVERS CATTLE FEEDING LLC","AGRICULTURAL ASSOCIATE (MANAGEMENT TRACK)",38600,DALHART,TX
"JBS FIVE RIVERS CATTLE FEEDING LLC","AGRICULTURAL ASSOCIATE (MANAGEMENT TRACK)",38900,HARTLEY,TX
"JBS FIVE RIVERS CATTLE FEEDING LLC","AGRICULTURAL ASSOCIATE (MANAGEMENT TRACK)",38181,HARTLEY,TX
"JBS FIVE RIVERS CATTLE FEEDING LLC","SUPERVISOR SHIPPING/RECEIVING",45000,HARTLEY,TX
"JBS FIVE RIVERS CATTLE FEEDING LLC","AGRICULTURAL ASSOCIATE (MANAGEMENT TRACK)",45000,HARTLEY,TX
"JBS FIVE RIVERS CATTLE FEEDING LLC","AGRICULTURAL ASSOCIATE (MANAGEMENT TRACK)",40000,HARTLEY,TX
"JBS FIVE RIVERS CATTLE FEEDING LLC","AGRICULTURAL ASSOCIATE (MANAGEMENT TRACK)",39000,HARTLEY,TX
"JBS FIVE RIVERS CATTLE FEEDING LLC","AGRICULTURAL ASSOCIATE (MANAGEMENT TRACK)",38900,HARTLEY,TX
"MARGAUX FARM, LLC","EQUINE MANAGER",50000,MIDWAY,KY
"FRESH QUEST PRODUCE, INC.","AGRICULTURAL PRODUCTS PRODUCTION MANAGER",65250,PLANTATION,FL
"MARGAUX FARM, LLC","EQUINE MANAGER",50000,MIDWAY,KY
"HAUGHTY FISHERIES, INC.","AQUACULTURAL MANAGER",35506,VALRICO,FL
"LOS SAPITOS, INC.","VP - OPERATIONS AND PRODUCT RESEARCH",57800,DALLAS,TX
"JBS FIVE RIVERS CATTLE FEEDING LLC","AGRICULTURAL ASSOCIATE (MANAGEMENT TRACK)",54000,WELLTON,AZ
"NORTHERN PACIFIC FARM","FIELD PRODUCTION MANAGER",59100,CANBY,OR
"MURPHY-BROWN LLC","SOW FARM MANAGER",42000,AHOSKIE,NC
"LANDSCAPE DETAILS, INC.","NURSERY MANAGER",50000,"SAG HARBOR",NY
"BRIAN J. INGRAM","DAIRY FARM MANAGER",65061,"PORT HOPE",MI
"B & W QUALITY GROWERS INC","WATERCRESS GROWER COORDINATOR",75000,FELLSMERE,FL
"MURPHY-BROWN LLC","BOAR STUD MANAGER",37826,"WHITE OAK",NC
"MURPHY-BROWN LLC","SOW FARM MANAGER",37826,LAURINBURG,NC
"JBS FIVE RIVERS CATTLE FEEDING LLC","AGRICULTURAL ASSOCIATE (MANAGEMENT TRACK)",40326,DALHART,TX
"MURPHY-BROWN LLC","FARM MANAGER",40000,FAYETTEVILLE,NC
"MURPHY-BROWN LLC","NURSERY/FINISHING COMPLEX MANAGER",37523,FAYETTEVILLE,NC
"FLORIDA PACIFIC FARMS, LLC","BERRY FARM MANAGER",57500,DOVER,FL
"G&G FARMS INC.","AGRICULTURAL MANAGER",62500,WILLIAMSON,NY
"NORTHERN PLAINS DAIRY, LLP","DAIRY COW TRANSITION AND RESEARCH CENTER MANAGER",93000,NICOLLET,MN
"STONEHALL FARM","ASSISTANT STABLE MANAGER",36400,"THE PLAINS",VA
"FMC TECHNOLOGIES, INC","SCHEDULING AND QUOTES MANAGER",83476,HOUSTON,TX
FLSMIDTH,"CONTRACT MANAGER",74500,BETHLEHEM,PA
"GRANITE WORLD LLC","INSTALLATION MANAGER",51022,ELBERTON,GA
"THE DENNIS GROUP, INC.","CONSTRUCTION MANAGER",75000,ORVILLE,OH
"MICHAEL BELLANTONI, INC.","LANDSCAPE MANAGEMENT DIRECTOR",72000,"NORTH WHITE PLAINS",NY
"MED-TEK CONTRACTING, INC.","CONSTRUCTION MANAGER",73000,YONKERS,NY
"MED-TEK CONTRACTING, INC.","CONSTRUCTION MANAGER",73000,YONKERS,NY
"LEND LEASE US CONSTRUCTION LMB, INC.","GENERAL SUPERINTENDENT",167000,"NEW YORK",NY
"SUFFOLK CONSTRUCTION COMPANY, INC.","BIM MANAGER",81931,"WEST PALM BEACH",FL
"PARSONS TRANSPORTATION GROUP","PROJECT MANAGER",170000,"NEW YORK",NY
"BUKOVAC & DUNCAN TECHNOLOGY GROUP, INC.","MECHANICAL, ELECTRICAL AND PLUMBING (MEP) PROJECT",120000,STAUNTON,VA
"H.J. HIGH CONSTRUCTION COMPANY, INC.","PROJECT SUPERINTENDENT",57200,ORLANDO,FL
"ATLAS UNIVERSAL, INC","CONSTRUCTION MANAGER",51120,HOUSTON,TX
"BLACK & VEATCH CORPORATION","PROJECT CONTROLS ANALYST",69408,CENTENNIAL,CO
"HUDSON MERIDIAN CONSTRUCTION GROUP, LLC","PROJECT MANAGER",135054,"NEW YORK",NY
"ARCADIS U.S., INC.","SR. PROJECT CONTROLS SPECIALIST",115003.2,CHICAGO,IL
"HUBBARD CONSTRUCTION COMPANY","CENTRAL FLORIDA ASPHALT OPERATIONS MANAGER",116979,"WINTER PARK",FL
"SOLIDARITY CONTRACTING LLC","PROJECT MANAGER-MECHANICAL",54683,HOUSTON,TX
"ARCADIS U.S., INC.","SR. PROJECT CONTROLS SPECIALIST",115003.2,CHICAGO,IL
"BOUYGUES CIVIL WORKS FLORIDA, INC.","ASSITANT PROJECT MANAGER",90000,MIAMI,FL
"BAKER CONCRETE CONSTRUCTION, INC.","PROJECT ENGINEER",52374,"NEW ORLEANS",LA
KM/PLAZA,"ASSISTANT PROJECT MANAGER",65000,MIAMI,FL
"BUILDING MATERIALS CONSTRUCTION SERVICES, INC.","ESTIMATING MANAGER",87154.8,INDIO,CA
"GUERRERO A CONSTRUCTION CORP","CONSTRUCTION MANAGER",62500,NAPERVILLE,IL
"ENCLOS CORP.","PROJECT MANAGER",86500,"LOS ANGELES",CA
"SSOE, INC.","DEPARTMENT MANAGER/SENIOR CONSTRUCTION MANAGER",119600,SUMTER,SC
"GRANITE WORLD LLC","INSTALLATION SUPERVISOR",51022,ELBERTON,GA
"ABEINSA EPC INC","ACTIVITY MANAGER",99078,"GILA BEND",AZ
"STV, INC.","PROJECT CONTROLS SPECIALIST",88004.8,"NEW YORK",NY
"THE PENTA BUILDING GROUP","PROJECT MANAGER",118700,"STEVENSON RANCH",CA
"DISNEY WORLDWIDE SERVICES, INC.","MANAGER FACILITIES OPERATIONS",86500,BURBANK,CA
"STONE & WEBSTER CONSTRUCTION SERVICES, LLC","CONSTRUCTION FIELD ENGINEER 2",59000,WAYNESBORO,GA
"DDG PARTNERS LLC","CONSTRUCTION MANAGER",100000,"NEW YORK",NY
"DACM PROJECT MANAGEMENT, INC.","CONSTRUCTION MANAGER",93600,RICHMOND,CA
"MICHAEL BAKER, JR., INC.","CONSTRUCTION SPECIALIST I",94040,PHILADELPHIA,PA
"DAVID E. HARVEY BUILDERS, INC.",SCHEDULER,73000,HOUSTON,TX
"DRY STONE MASONRY INSTITUTE OF AMERICA, INC.","TRAINING PROGRAM MANAGER",68064.4,LEXINGTON,KY
"W. W. GRAINGER, INC.","REAL ESTATE PROJECT MANAGER - FIELD CONSTRUCTION",99000,"LAKE FOREST",IL
"WELLS CONSTRUCTION, INC","CONSTRUCTION PROJECT MANAGER",81903,ROSEVILLE,CA
"GILBANE BUILDING COMPANY","SENIOR PROJECT ENGINEER",87000,VALLEJO,CA
"GAYLOR, INC.","CONSTRUCTION MANAGER",51085,WORTHINGTON,OH
"SUFFOLK CONSTRUCTION COMPANY, INC","REGIONAL VIRTUAL DESIGN & CONSTRUCTION (VDC) DIREC",89000,"FALLS CHURCH",VA
"ALSTOM TRANSPORTATION INC.","PROJECT MANAGER",99700,VALLEJO,CA
"JACOBS ENGINEERING GROUP INC.","PROJECT ENGINEER 5",95472,"BATON ROUGE",LA
"SPECTRA ENTERPRISE, LLC","CONSTRUCTION SUPERINTENDENT",64293,RALEIGH,NC
"CRANA ELECTRIC, INC.","ELECTRICAL PROJECT MANAGER",100000,BRONX,NY
"J.T. MAGEN & COMPANY, INC.","PROJECT MANAGER",72000,"NEW YORK",NY
"J.T. MAGEN & COMPANY, INC.","PROJECT MANAGER",72000,"NEW YORK",NY
"HESS CORPORATION","PROJECT MANAGER, FACILITIES",200000,MINOT,ND
"TECHNIP USA, INC.",PLANNER/SCHEDULER,65000,HOUSTON,TX
"SHIEL-SEXTON COMPANY INC.","CONSTRUCTION MANAGER",55806,INDIANAPOLIS,IN
"NC-LUBE ENGINEERING, LLC","CONSTRUCTION MANAGER",90000,TAMPA,FL
"TURNER CONSTRUCTION COMPANY",SUPERINTENDENT,65000,BOSTON,MA
"J.T. VAUGHN CONSTRUCTION, LLC","QAQC INSPECTOR",57000,HOUSTON,TX
"J.T. VAUGHN CONSTRUCTION, LLC","QAQC INSPECTOR",55000,HOUSTON,TX
"TURNER & TOWNSEND INC.","LEAD PLANNER",120000,HOUSTON,TX
"SOUTHLAND INDUSTRIES","PROJECT ENGINEER",57000,"FORT HOOD",TX
"RUDOLPH AND SLETTEN,INC.","CONSTRUCTION ENGINEERING COORDINATOR",100714,"REDWOOD CITY",CA
"ROOFING PROFESSIONAL INC.","CONSTRUCTION MANAGER",78000,"RICHMOND HILL",GA
"UNITED CONVEYOR CORPORATION","SUPERVISOR, PROJECT COORDINATOR",80000,WAUKEGAN,IL
"AURA DESIGN BUILD, INC.","CONSTRUCTION PROJECT MANAGER",69701,"LOS ANGELES",CA
"NR GROUP 3 CONTRACTORS, INC.","PROJECT MANAGER",63627,MIAMI,FL
"THE AES CORPORATION","MANAGING DIRECTOR - PROJECTS",176000,ARLINGTON,VA
"GAYLOR, INC.","CONSTRUCTION MANAGER",55806,NOBLESVILLE,IN
"COLOSSAL CONTRACTORS, INC.","CONSTRUCTION MANAGER",117062,BURTONSVILLE,MD
"INSPEC GROUP LLC","PROJECT ASSISTANT MANAGER",60000,ATLANTA,GA
"BESTEL USA, INC.","MAINTENANCE & CONSTRUCTION ENGINEER",47115,"SAN ANTONIO",TX
"GAYLOR, INC.","CONSTRUCTION MANAGER",45656,WORTHINGTON,OH
"THE AES CORPORATION","PROJECT MANAGER",69680,ARLINGTON,VA
"GREENEBUILD, LLC","CONSTRUCTION MANAGER",71219,BROOKLYN,NY
"SHARED STAFFING SERVICES, LLC","SENIOR DEVELOPMENT MANAGER",120000,THERMAL,CA
"PETROLEUM MANAGEMENT LLC","PROJECT MANAGER",67000,MIAMI,FL
"AMERICAN BROADCASTING COMPANIES, INC.","MANAGER, FACILITIES OPERATIONS",86500,BURBANK,CA
"STONE-TECH, INC.",ESTIMATOR,50794,GARLAND,TX
"HAILEY DEVELOPMENT GROUP, LLC","PROJECT MANAGER",92000,"NEW YORK",NY
"TURNER CONSTRUCTION COMPANY","ASSISTANT SUPERINTENDENT",65000,BOSTON,MA
"VVA LLC","MANAGING DIRECTOR",70000,"LOS ANGELES",CA
"JONES LANG LASALLE AMERICAS, INC","CONSTRUCTION MANAGER",132000,MIAMI,FL
"WOODLANDS CONTRACTING GROUP, INC.","ASSISTANT CONSTRUCTION MANAGER",60000,HOUSTON,TX
"INTERNATIONAL PAPER","FACILITY CAPITAL PROJECT MANAGER",90000,ORANGE,TX
"M.C. DEAN, INC.","OFFICE ENGINEER",50794,DALLAS,TX
"AGRIUM (U.S.) INC.","CONTRACT SPECIALIST, PROJECT LIGHTNING",117600,"ST. LOUIS",MO
"YAGAR CONSTRUCTION","PROJECT MANAGER",71864,MIAMI,FL
"DESBUILD INCORPORATED","CONSTRUCTION MANAGER",69680,HYATTSVILLE,MD
"JOHN NIELSEN INC","CONSTRUCTION MANAGER",70000,"EL SEGUNDO",CA
"RETAIL GROUP OF AMERICA, LLC","DIRECTOR, CONSTRUCTION",145000,"NEW YORK",NY
"M BARRY CONSTRUCTION INC.","PROJECT ENGINEER/SPECIALIST",65333,"FT. LAUDERDALE",FL
"M BARRY CONSTRUCTION INC.","PROJECT ENGINEER/SPECIALIST",65333,"FT. LAUDERDALE",FL
"TECHNIP USA, INC.","SENIOR PLANNER",87000,CLAREMONT,CA
"COYLE CONTRACTING CORP.","PROJECT MANAGER",100000,"NEW YORK",NY
"CORINTHIAN BUILDERS, INC.","PROJECT MANAGER",55500,SANFORD,FL
"INTOWN HOMES, LTD.","CONSTRUCTION MANAGER",54683,HOUSTON,TX
"VSS INTERNATIONAL, INC.","PROJECT MANAGER",76128,"WEST SACRAMENTO",CA
"M+W U.S., INC.","CONSTRUCTION MANAGER",100000,PHOENIX,AZ
"IRBY CONSTRUCTION COMPANY","CONSTRUCTION MANAGER",62400,CHECOTAH,OK
"JT MAGEN AND COMPANY INC","PROJECT MANAGER",71219,"NEW YORK",NY
"RUDOLPH AND SLETTEN, INC.","CONSTRUCTION ENGINEERING COORDINATOR",100714,"REDWOOD CITY",CA
"CHEMTEX INTERNATIONAL, INC.","PROJECT CONSTRUCTION MANAGER",180000,WILMINGTON,NC
"ENSCO INTERNATIONAL INCORPORATED","PROJECT QUALITY COORDINATOR-SUBSEA EQUIPMENT",95697,HOUSTON,TX
"WALSH GLASS & METAL INC.","PROJECT MANAGER",71219,YONKERS,NY
"ARKEN, INC.","CONSTRUCTION MANAGER",71219,JAMAICA,NY
"INNOVATIVE ARCHITECTURAL PLANNERS, INC.","PROJECT MANAGER",65000,COLUMBUS,OH
"DENARK CONSTRUCTION, INC","PROJECT ENGINEER",45600,ELIZABETHTON,TN
"RIVERWALK PARTNERS LLC","CONSTRUCTION MANAGER",85000,LAWRENCE,MA
"BECHTEL MINING & METALS, INC.",PLANNER,108420,ST.PAUL,MN
"TIC THE INDUSTRIAL COMPANY","PROJECT ENGINEER I",113010,VENTURA,CA
"EVERGREENE COMPANIES LLC","CONSTRUCTION MANAGERS",69680,CHANTILLY,VA
"NYTE INC","CONSTRUCTION MANAGER",63170,ARDEN,NC
"DENARK CONSTRUCTION, INC.","ASSISTANT PROJECT MANAGER",45600,ELIZABETHTON,TN
"SAFWAY ATLANTIC LLC","CONSTRUCTION MANAGER",95992,CARLSTADT,NJ
"DRILLMEC INC.","PROJECT MAINTENANCE SPECIALIST",70000,HOUSTON,TX
"BUILDSOL LLC","CONSTRUCTION & PROJECT OPERATIONS MANAGER",69680,ACCOKEEK,MD
"J.T. MAGEN & COMPANY, INC.","JUNIOR PROJECT MANAGER",76000,"NEW YORK",NY
"WHR ARCHITECTS, INC.","CONSTRUCTION CONTRACT ADMINISTRATOR",69826,HOUSTON,TX
"KISKA CONSTRUCTION INC.","ASSISTANT SUPERINTENDANT",80000,"LONG ISLAND CITY",NY
"SANTAMARIA DESIGNS, INC.","CONSTRUCTION QUALITY CONTROL MANAGER",65333,"FORT LAUDERDALE",FL
"EXP U.S. SERVICES INC.","CONSTRUCTION INSPECTOR",60000,CHICAGO,IL
"ENVIRO-MANAGEMENT & RESEARCH, INC.","PROJECT MANAGER",70000,SPRINGFIELD,VA
"GAMESA WIND US LLC","TECHNICAL FIELD ENGINEER",90001.4,TREVOSE,PA
"TOM THOMASON PLUMBING, INC.","CONSTRUCTION SUPERVISOR/MANAGER",71864,"BOCA RATON",FL
"PHOENIX INDUSTRIAL, INC.","PROJECT MANAGER",120000,VANCOUVER,WA
"JACOBS ENGINEERING GROUP INC.","PROJECT CONTROLS 4",100131,WEBSTER,TX
